blr_id,blr_name,blr_category_name,blr_coverage
ABLP04000BLWJX,AS Steward Morris,Education Fees,IND-RAJ
ABLP04000DRWER,St Antonys Public School,Education Fees,IND-KAR-Dharward
ABLP04000GUL7C,Mount Litera Zee Primary School,Education Fees,IND-KAR-Gulbarga
ABLP04000HYDYB,Gokaraju Rangaraju Educational Society Griet Fee Collection,Education Fees,IND-TEL-Hyderabad
ABLP04000JAGF7,Bethany Convent  School,Education Fees,IND-ODI-Jagatsinghapur
ABLP04000ODI6B,Saraswati Shishu Vidya Mandir - ODISHA,Education Fees,IND-ODI
ABME00021MAH8X,ABM English School,Education Fees,IND-MAH
ABVA00000GUJA3,Abvaa Avenue E Tower,Housing Society,IND-GUJ
ACAD00000BPL6M,Academy Of Aviation And Engineering,Education Fees,IND-MAP-Bhopal
ACEM00000NATX6,Acemoney,Subscription,IND
ACEN00016MUMHU,AceN Navadhan,Loan Repayment,IND-MAH-Mumbai
ACHI00000NATZZ,Achiievers Finance Personal Loan,Loan Repayment,IND
ACHI00000WBL7C,Achieves,Education Fees,IND-WBL
ACHI00019UTPLJ,Achievers Academy Bhillaiya,Education Fees,IND-UTP
ACHY00000NAT9G,Achyut Maharaj Janmbhumi Sansthan,Donation,IND
ACKO00000NATJ1,Acko General Insurance Health,Insurance,IND
ACKO00000NATX2,Acko General Insurance Motor,Insurance,IND
ACNS00000NATL2,ACNS Pvt Ltd,Broadband Postpaid,IND
ACRO00000BIHJM,Acro Kids International School,Education Fees,IND-BIH
ACT000000NAT01,ACT Fibernet,Broadband Postpaid,IND
ACTI00000NATAQ,Activline,Broadband Postpaid,IND
ADAN00000NAT01,Adani Total Gas Limited,Gas,IND
ADAN00000NATI9,Tyger Home Finance Private Limited,Loan Repayment,IND
ADAN00000NATO6,Tyger Capital Private Limited,Loan Repayment,IND
ADAP00000TND7L,Adaptive Networks,Broadband Postpaid,IND-TND
ADAR00000BIHGT,Adarsh Vidya Bharti,Education Fees,IND-BIH
ADAR00000EDLU1,Omn Shriman Yog Bharti Education Society,Education Fees,IND-DEL-East_Delhi
ADAR00000EDLW0,Adarsh Gyan Modern Public School,Education Fees,IND-DEL-East_Delhi
ADAR00000ESM8U,Amitabha School,Education Fees,IND-SIK-East_Sikkim
ADAR00000MAPX1,Adarsh Higher Secondary School,Education Fees,IND-MAP
ADAR00000NAT7Z,Adarsh Laxmi Nidhi,Loan Repayment,IND
ADAR00000NAT97,Adarsh Shikshan Sewa Trust Aburoad,Education Fees,IND-RAJ
ADAR00000RAJ9F,Adarsh Gramin Shikshan Samiti,Education Fees,IND-RAJ
ADAR00000UTP9G,Adarsh Gyansarovar Public School,Education Fees,IND-UTP
ADAR00024UTP9K,Adarsh Bal Shiksha Niketan,Education Fees,IND-UTP
ADAR00025UTP35,Adarsh Bal Shiksha Niketan Junior High School Raebareli,Education Fees,IND-UTP
ADHY00000SIKGS,Adhyaan Kidzee,Education Fees,IND-SIK
ADHY00000WBLYC,Adhyayanindia Technologies Private Limited,Education Fees,IND-WBL
ADIC00021NATZS,Adi Chitragupta Finance Limited,Loan Repayment,IND
ADIG00000NATOW,Adigital,Broadband Postpaid,IND
ADIT00000NAT0T,Aditya Birla Sun Life Insurance,Insurance,IND
ADIT00000NATRA,Aditya Birla Housing Finance Limited,Loan Repayment,IND
ADIT00000NATVO,Aditya Birla Health Insurance Co Limited,Insurance,IND
ADIT00000NATZ1,Aditya Birla Capital Limited,Loan Repayment,IND
ADVA00000RIP4Y,Advani Oerlikon Govt Hr Sec School,Education Fees,IND-CHH-Raipur
ADVA00000SIKI6,Advanced Technical Training Centre,Education Fees,IND-SIK
AEGO00000NATRJ,Bandhan Life Insurance,Insurance,IND
AEML00000NATD1,AEML SEEPZ Limited,Electricity,IND
AERO00000NATJK,Aeronet Online Services Private Limited,Broadband Postpaid,IND
AESE00000KER02,A E S English Medium School,Education Fees,IND-KER
AGAK00000MUMPO,Aga Khan Baug Co-Operative Housing Society Limited,Housing Society,IND-MAH-Mumbai
AGAR00000TRIY7,Agartala Municipal Corporation,Municipal Taxes,IND-TRI
AGL000000MAP01,Aavantika Gas Ltd.,Gas,IND-MAP
AGOR00000NATQL,Agora Microfinance India Ltd - AMIL,Loan Repayment,IND
AGPC00000NAT9G,AGP CGD India Pvt Ltd,Gas,IND
AGPC00000NATB4,AGP City Gas Pvt Ltd,Gas,IND
AGRA00000JHACB,Agrasen Saraswati Vidya Mandir,Education Fees,IND-JHA
AGRA00000SURBN,Agrawal Vidya Vihar,Education Fees,IND-GUJ-Surat
AGRI00000NAT0B,Agriwise Finserv Limited,Loan Repayment,IND
AGRI00000NAT6A,Agriculture Insurance Company of India Ltd,Insurance,IND
AHAL00019KER7L,Ahalia School of Management,Education Fees,IND-KER
AHAL00021KERKC,Ahalia School of Commerce and Mathematics,Education Fees,IND-KER
AHAM00000NATL9,Aham Housing Finance Private Limited,Loan Repayment,IND
AHSA00000GUJHV,Ahsa Gandhi Vidhyalaya Ronvel,Education Fees,IND-GUJ
AHVKML000GUJ01,Aamin Hindi Vidhyalay,Education Fees,IND-GUJ-Ahmedabad
AIFI00015KER5V,AIFID Academy,Education Fees,IND-KER
AIMS00000TELX5,Aims Degree College,Education Fees,IND-TEL
AIRD00000NAT1E,AirConnect,Broadband Postpaid,IND
AIRF00000NATBJ,Air Force School Samana,Education Fees,IND-GUJ
AIRF00000RAJZO,Air Force School Suratgarh,Education Fees,IND-RAJ
AIRG00000PUD0C,Airgenie Communications,Broadband Postpaid,IND-PUD
AIRI00000HARV5,Air Internet,Broadband Postpaid,IND-HAR
AIRI00021NATDC,Airicon Broadband Service,Broadband Postpaid,IND
AIRN00000MUMMZ,Airnet Networks,Broadband Postpaid,IND-MAH-Mumbai
AIRN00000NATCI,Airnetz,Broadband Postpaid,IND
AIRS00000UTPRF,Air Services,Broadband Postpaid,IND-UTP
AIRT00000NAT87,Airtel DTH,DTH,IND
AIRT00000NATCL,Airtel Payments Bank RuPay NCMC,NCMC Recharge,IND
AIRT00000NATSN,Airtel Xstream Play,Subscription,IND
AIRT00000NATVI,Airtel Payments Bank NETC FASTag,Fastag,IND
AISE00014KERHJ,"AIS English Medium School, Arakkuparamba",Education Fees,IND-KER
AISKML000RAJ01,Agarwal International School Sanstha,Education Fees,IND-RAJ-Jaipur
AITS00000RAJFC,Aitspl,Broadband Postpaid,IND-RAJ
AJEE00000NAT4W,Ajeevak Nidhi Limited,Loan Repayment,IND
AJME00000AJMY9,Ajmer Nagar Nigam,Municipal Taxes,IND-RAJ-Ajmer
AKAS00000HARZU,Akash Public School,Education Fees,IND-HAR
AKRI00000WBL5A,Akriti Association Of Apartment Owners,Housing Society,IND-WBL
AKSH00000ANPRE,Akshaya Elite Flat Owners Association,Housing Society,IND-ANP
AKSH00000MAPK6,Akshar Vishwa,Subscription,IND-MAP
AKSH00000NAT8V,Akshaya Patra Foundation,Donation,IND
AKSH00000TND4O,Akshaya College Of Engineering and Technology,Education Fees,IND-TND
ALAM00000KERIY,AL AMAL Public School,Education Fees,IND-KER
ALAN00000KARIO,Al Anam Public School,Education Fees,IND-KAR
ALAS00000TELEJ,AL Ashraf Trust,Clubs and Associations,IND-TEL
ALDI00000NATYL,Aldine CA,Education Fees,IND-HAR
ALFA00000MPMBO,Al Falah English Medium School,Education Fees,IND-KER-Malappuram
ALFA00000RAJH1,Alfastar India Nidhi Limited,Loan Repayment,IND-RAJ
ALHU00000TELT9,Al Huda Educational And Welfare Society,Education Fees,IND-TEL
ALJA00000TNDFZ,Al Jamieathus Sadhik Matriculation School,Education Fees,IND-TND
ALKA00000NAT7S,Alka Vishwadarshan,Cable TV,IND
ALLE00000GUJR6,Alleywell Finserve Nidhi Limited,Loan Repayment,IND-GUJ
ALLE00000NATMR,ALLEN Career Institute,Education Fees,IND-RAJ
ALLI00000NATHB,Alliance Broadband Services Pvt. Ltd.,Broadband Postpaid,IND
ALMA00000KAR88,Al Mahmood Girl Composite PU College,Education Fees,IND-KAR
ALMO00000JHA2L,Almobeen Inter College,Education Fees,IND-JHA
ALOK00000RAJJI,Alok Vidhya Mandir Shikshan Sansthan,Education Fees,IND-RAJ
ALPH00000GNR1M,Alpha College Of Engineering And Technology Degree,Education Fees,IND-GUJ-Gandhinagar
ALPH00000GNRAU,Alpha Institue Of Architecture Studies,Education Fees,IND-GUJ-Gandhinagar
ALPH00000GNRI8,Alpha College Of Engineering And Technology Diploma,Education Fees,IND-GUJ-Gandhinagar
ALTU00000NATG5,Altum Credo Home Finance,Loan Repayment,IND
ALUM00000MAHET,Alumni Association Of Government Polytechnic Gondia,Education Fees,IND-MAH
AMAR00000JAKAW,Amargyan Institute Of Computer Science And Technology,Education Fees,IND-JAK
AMAR00000JHA5N,Amarsheela Educational Foundation,Education Fees,IND-JHA
AMAR00000RAJI3,Amarpadma Credits Pvt Ltd,Loan Repayment,IND-RAJ
AMAR00000UTPLV,Amar Singh Memorial Public School,Education Fees,IND-UTP
AMAR00010MUMDE,Amar Co-Operative Housing Society Limited,Housing Society,IND-MAH-Mumbai
AMAZ00000NAT4C,Amazon Prime,Subscription,IND
AMAZ00015TNDLL,Amaze By Urban Tree Apartment Owners Association Porur,Housing Society,IND-TND
AMBE00000NATFY,Amber Online Services,Broadband Postpaid,IND
AMBI00000HIPZI,Ambition Classes,Education Fees,IND-HIP
AMBI00000NAT2A,Ambit Finvest Pvt Ltd,Loan Repayment,IND
AMBO00000MAHLU,Ambovli Neelkamal Co-Operative Housing Society Limited,Housing Society,IND-MAH
AMC000000GUJ01,Ahmedabad Municipal Corporation,Municipal Taxes,IND-GUJ
AMER00021JAKJL,American Kids International Play Way,Education Fees,IND-JAK
AMIFEE000CHH01,Amity International School Naya Raipur,Education Fees,IND-CHH-Raipur
AMIFEE000DEL01,Amity Law School Delhi,Education Fees,IND-DEL-South Delhi
AMIFEE000DEL02,Amity International School Saket,Education Fees,IND-DEL-South Delhi
AMIFEE000DEL03,Amity International School Mayur Vihar,Education Fees,IND-DEL-East Delhi
AMIFEE000DEL04,Amity Institute For Education,Education Fees,IND-DEL-South Delhi
AMIFEE000DEL05,Amity Institute For Competitive Examinations,Education Fees,IND-DEL-South Delhi
AMIFEE000DEL06,Amity Educational Resource Centre,Education Fees,IND-DEL-South Delhi
AMIFEE000DEL07,Amity Centre For Educational Research And Training,Education Fees,IND-DEL-South Delhi
AMIFEE000HAR01,Amity University Manesar,Education Fees,IND-HAR-Gurgaon
AMIFEE000HAR02,Amity International School Gurgaon Sec 46,Education Fees,IND-HAR-Gurgaon
AMIFEE000HAR03,Amity International School Gurgaon Sec 43,Education Fees,IND-HAR-Gurgaon
AMIFEE000MAH01,Amity University Mumbai,Education Fees,IND-MAH-Mumbai
AMIFEE000MAP01,Amity University Gwalior,Education Fees,IND-MAP-Gwalior
AMIFEE000MAP02,Amity International School Gwalior,Education Fees,IND-MAP-Gwalior
AMIFEE000RAJ01,Amity University Jaipur,Education Fees,IND-RAJ-Jaipur
AMIFEE000UTP01,Amity University Lucknow,Education Fees,IND-UTP-Lucknow
AMIFEE000UTP02,Amity University Greater Noida,Education Fees,IND-UTP-Noida
AMIFEE000UTP03,Amity School Of Distance Learning,Education Fees,IND-UTP-Noida
AMIFEE000UTP05,Amity International School Vrindavan Yojana,Education Fees,IND-UTP-Lucknow
AMIFEE000UTP06,Amity International School Vasundhara Sec 6,Education Fees,IND-UTP-Ghaziabad
AMIFEE000UTP07,Amity International School Vasundhara Sec 1,Education Fees,IND-UTP-Lucknow
AMIFEE000UTP08,Amity International School Noida,Education Fees,IND-UTP-Noida
AMIFEE000UTP09,Amity International School Lucknow,Education Fees,IND-UTP-Lucknow
AMIFEE000UTP10,Amity International School Jagdishpur,Education Fees,IND-UTP-Sultanpur
AMIFEE000UTP11,Amity University Noida,Education Fees,IND-UTP-Noida
AMIT00000NAT0X,Amity Schools - Online Forms,Education Fees,IND-DEL
AMIT00000NATYJ,Amity University Online Forms,Education Fees,IND-DEL
AMMI00000NAT9D,A M Mission School,Education Fees,IND-WBL
AMOD00000MAHQS,Amod Co-Operative Housing Society Limited,Housing Society,IND-MAH
AMRI00000NATLE,Amrita Cable Network,Cable TV,IND
AMRI00000NATN1,Amrit Malwa Capital Limited,Loan Repayment,IND
AMRI00000UTT8W,Amritversha Nidhi Limited,Loan Repayment,IND-UTT
AMRI00029KERI0,Amritha Institute of Medical Science and Technology,Education Fees,IND-KER
AMRU00000AHDFN,Amrut High School,Education Fees,IND-GUJ-Ahmedabad
AMRU00000AHDFO,Amrut Indian School Managed By Firdaus Memorial Charity And Education Trust,Education Fees,IND-GUJ-Ahmedabad
AMRU00000AHDH2,Amrut Primary School Managed By Firdus Memorial Charity And Education Trust,Education Fees,IND-GUJ-Ahmedabad
AMRU00000AHDPR,Amrut Pre Primary School Managed By Firdaus Memorial Charity And Education Trust,Education Fees,IND-GUJ-Ahmedabad
AMRU00000AHDVT,Amrut Higher Secocondary School Managed By Firdaus Memorial Charity And Edu Trust,Education Fees,IND-GUJ-Ahmedabad
AMRU00000MUM7G,Amrut Smruti Co-Operative Housing Society Limited,Housing Society,IND-MAH-Mumbai
AMRU00000PUNIU,Amrut Ganga H1 Cooperative Hsg. Soc. Ltd.,Housing Society,IND-MAH-Pune
AMUL00000NATJG,AMU Leasing Pvt Ltd,Loan Repayment,IND
ANAN00000FAR2O,Anand Vilas 81 Resident Welfare Association,Housing Society,IND-HAR-Faridabad
ANAN00000GNR1J,Anand Niketan Bhadaj,Education Fees,IND-GUJ-Gandhinagar
ANAN00000JHAUZ,Anandalaya Public School,Education Fees,IND-JHA
ANAN00000KERVC,Ananthapuri Primary School,Education Fees,IND-KER
ANAN00000MAH6W,Anand Niketan College Of Agriculture,Education Fees,IND-MAH
ANAN00000MAHL8,Anandtara Siliconbay Co-Op HSG SOC Limited Phase 1,Housing Society,IND-MAH
ANAN00000MUMQS,Anand Dham Co-Operative Housing Society Limited Building No-3,Housing Society,IND-MAH-Mumbai
ANAN00000NAT39,Anand Jivan Foundation Trust,Donation,IND
ANAN00000NATMN,Ananth Akash Academy,Education Fees,IND-TEL
ANAN00000PUNRG,Anand Yog Sahakari Gruharachna Sanstha Maryadit,Housing Society,IND-MAH-Pune
ANAN00000UTPB3,Ananya Vikash Nidhi Limited,Loan Repayment,IND-UTP
ANDH00000ANPAO,Andhra Pradesh Central Power Distribution Corporation Limited,Electricity,IND-ANP
ANDH00000ANPYD,Andhra Pragathi Grameena Bank Loan Repayment,Loan Repayment,IND-ANP
ANDH00000MUMV2,Andheri Purab Paschim Co Operative Housing Society Limited,Housing Society,IND-MAH-Mumbai
ANDH00013ANPWK,Andhra Pradesh Traffic Police Department,eChallan,IND-ANP
ANGE00000THID5,Angels Arc English Medium School,Education Fees,IND-KER-Alappuzha
ANGE00000WBL7J,Angel Cable And Broadband Service,Cable TV,IND-WBL
ANIB00000DELFM,Anonet Communications Private Limited,Broadband Postpaid,IND-DEL
ANIN00000NATG6,ANI Network Pvt Ltd,Broadband Postpaid,IND
ANIN00000WBL76,AN Institute Of Education And Skill Development,Education Fees,IND-WBL
ANJE00000GUJ5M,Anjelas Primary School Dediapada,Education Fees,IND-GUJ
ANJU00000MUMFD,Anju Apartments Co-Operative Housing Society Limited,Housing Society,IND-MAH-Mumbai
ANKU00000NAT9K,Ankur Trade Links Pvt Ltd,Loan Repayment,IND
ANNA00000HYDEN,Annapurna College Of Film And Media,Education Fees,IND-TEL-Hyderabad
ANNA00000KERN9,Annapoorneswari Residents Association,Housing Society,IND-KER
ANNA00000NATMR,Annapurna Finance Private Limited-MSME,Loan Repayment,IND
ANNA00000NATUO,Annapurna Finance Private Limited-MFI,Loan Repayment,IND
ANNO00000WBL4Q,AN Noor Educational Trust,Education Fees,IND-WBL
ANNS00000NATAD,ANNS English Medium School,Education Fees,IND-KER
ANSA00000NAT8B,Ansar Womens College,Education Fees,IND-KER
ANSA00000NATL2,Ansar English School - Thrissur,Education Fees,IND-KER
ANSA00000WBLMK,Ansari Cable Tv,Cable TV,IND-WBL
ANSC00000NATB9,Anscor Capital And Investment Pvt Ltd,Loan Repayment,IND
ANSS00000NATN9,Anss Homeo Medical College,Education Fees,IND-KER
ANTH00000NATL5,Anthariksha Fiber,Broadband Postpaid,IND
ANUB00000NATOO,ANU Broadband,Broadband Postpaid,IND
ANUP00000DGLQI,Anupama Cable And Internet Service,Broadband Postpaid,IND-WBL-Darjiling
ANUS00000INDY8,Anusuiya School,Education Fees,IND-MAP-Indore
ANUS00000TELUX,Anusha Educational Society,Education Fees,IND-TEL
AOIA00000ANP8F,AOI AP South Con 2025,Clubs and Associations,IND-ANP
APAA00000NATOJ,Apaarseva Foundation,Loan Repayment,IND
APAC00000NAT8Q,APAC Financial Services Pvt Ltd,Loan Repayment,IND
APAR00000ANPTP,Aparna Star TV Network,Broadband Postpaid,IND-ANP
APAR00000NATSV,Aparna Public School,Education Fees,IND-JHA
APBB00000WBL08,APB Broadband,Broadband Postpaid,IND-WBL
APDCL0000ASM02,Assam Power Distribution Company Ltd (NON-RAPDR),Electricity,IND-ASM
APEK00000NATUW,Apeksha Humanitarian Rights and Social Welfare Foundations,Donation,IND
APEX00000NATIA,Apex,Broadband Postpaid,IND
APOL00000KRN91,Apollo English Medium School Nandigama,Education Fees,IND-ANP-Krishna
APOL00000NATLV,APOLLO 24|7,Subscription,IND
APOL00000UTPBD,Apollo Institute Of Professional Studies,Education Fees,IND-UTP
APOL00000UTPWO,Apollo Institute of Technology,Education Fees,IND-UTP
APON00018WBL0D,Aponaloy Housing Association Of Apartment Owners,Housing Society,IND-WBL
APPA00000WBLNY,Appayan Assosiation Of Apartment Owners,Housing Society,IND-WBL
